"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora/Medio","Fuente","Muestra","Trabajo Campo","Último día","Participación","Lead","Ganador","Ventaja","PSOE","PP","Vox","Unidas Podemos","Cs","ERC–Sobiranistes","Más País","JxCat","PNV","EH Bildu","CUP","CC–NCa","BNG","NA+","PRC","TE","PSC","ECP","Junts","PDeCAT","PSdeG–PSOE","EC","PACMA","Somos Región","Més Compromís","PSOE–A","Adelante Andalucía (2018)","AxSí","UPporA","Andaluces Levantaos","Adelante Andalucía (2021)","PP+Cs","Podemos","CHA","PAR","IU","IU/IX","FAC","IUCyL","UPL","XAV","PPSO","EV","ERC","MDyC","Caballas","Más Madrid","UP/MP","MCC","IU–V–RM","PSN–PSOE","GBai","I–E (n)","PSPV","Compromís","PSIB–PSOE","Més","El Pi","MxMe","GxF","PR+","CpM","CCa","NCa","ASG","Galicia en Común","PSE–EE (PSOE)","Elkarrekin Podemos","Adelante","IULV","Adelante Andalucía","UP","L","UPxA","GJ","CH","GT","ZGZ","SomosOviedo","Unides Podem–EUIB","PxE","IUC","ACP","Avante","AIKE","GBC","BA","Marea Atlántica","GeC","Marea Galeguista","FeC","esperta","DO","Compostela Aberta","Marea de Vigo","VeC","MDV–Podemos","Cambia Logroño","Podemos–IU","Somos Alcalá","E-2000","MMAlcobendas","IU–MeP","Ganar Alcorcón","MM–Alcorcón","MM–Fuenlabrada","MMCCG","IGE","ULEG","Más Madrid–Leganemos","MMGM","IU–Madrid","MOVER Parla","MMP","Más Madrid–VpT","IUMA","UxA","CL","CM","Podem–EUPV","Unides Podem–EUPV","EUPV","PVI","PTSV"
"21","Generales","España","Esp.","","","CIS","http://datos.cis.es/pdf/Es3344marMT_A.pdf","3733","1–13 Dec 2021",2021-12-13,"",7.2,"PSOE","PSOE +7.2",28,20.8,14.6,13.7,5.9,2.5,2.2,1.4,1.2,0.8,0.8,0.3,0.6,0.4,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"22","Generales","España","Esp.","","","Simple Lógica","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-diciembre-2021/","1041","1–13 Dec 2021",2021-12-13,"65.3",2.4,"PSOE","PSOE +2.4",25.5,23.1,19.4,10.6,3.6,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"23","Autonómicas","Andalucía","And.","","","CENTRA/CEA","https://www.centrodeestudiosandaluces.es/barometro/barometro-andaluz-8","3600","24 Nov–13 Dec 2021",2021-12-13,"60.9",10,"PP","PP +10",NA,35.1,10.9,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,NA,NA,10.7,2.6,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"24","Autonómicas","Melilla","Mel.","","","NC Report/El Faro de Melilla","https://elfarodemelilla.es/sorpasso-de-cpm-a-pp-en-melilla/","700","3–13 Dec 2021",2021-12-13,"54.5",3.8,"CpM","CpM +3.8",11.8,32.5,14.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"25","Autonómicas","Rioja, La","Rio.","","","NueveCuatroUno","https://nuevecuatrouno.com/2021/12/12/el-refractometro-pp-y-vox-sumarian-una-ajustada-mayoria-en-la-rioja/","","12 Dec 2021",2021-12-12,"",0.5,"PSOE","PSOE +0.5",35.8,35.3,11.6,6.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"26","Generales","España","Esp.","","","NC Report/La Razón","https://www.larazon.es/espana/20211213/na5jrm2v3fczfjux5oaugcxz2u.html","1000","8–11 Dec 2021",2021-12-11,"62.2",3.5,"PP","PP +3.5",25.3,28.8,15.5,9.9,3,3.4,2.8,2.2,1.7,1,NA,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"27","Generales","España","Esp.","","","ElectoPanel/Electomanía","https://electomania.es/ep12d21/","2177","3–10 Dec 2021",2021-12-10,"",0.2,"PP","PP +0.2",25.5,25.7,18.5,10.8,3.3,3.5,2.7,2.4,1.5,1.3,1,0.6,0.9,0.5,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"28","Generales","España","Esp.","","","Data10/OKDiario","https://okdiario.com/espana/casado-pierde-7-escanos-pelea-ayuso-pp-gobernaria-apoyo-vox-pero-pelos-8248532","1000","7–9 Dec 2021",2021-12-09,"",2.5,"PP","PP +2.5",25.6,28.1,16.5,10.6,2.8,3.2,3.4,2.1,1.6,1.1,0.9,0.4,0.7,0.4,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"29","Generales","España","Esp.","","","Hamalgama Métrica/VozPópuli","https://www.vozpopuli.com/espana/vox-abascal-casado.html","1000","2–9 Dec 2021",2021-12-09,"",2.4,"PP","PP +2.4",25.7,28.1,16.3,10.2,2.9,3.3,3.3,2.3,1.5,1.1,0.9,0.5,0.7,0.4,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"30","Autonómicas","Andalucía","And.","","","SocioMétrica/El Español","https://www.elespanol.com/espana/politica/20211208/pp-cs-acercan-absoluta-andalucia-publicara-espanol/633186899_0.html","1200","3–6 Dec 2021",2021-12-06,"",12.7,"PP+Cs","PP+Cs +12.7",NA,NA,16,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.9,NA,NA,6.9,1.3,6.2,39.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"31","Autonómicas","Andalucía","And.","","","SocioMétrica/El Español","https://www.elespanol.com/espana/politica/20211208/pp-cs-acercan-absoluta-andalucia-publicara-espanol/633186899_0.html","1200","3–6 Dec 2021",2021-12-06,"",10.2,"PP","PP +10.2",NA,36.4,15,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,NA,NA,6.8,1.1,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"32","Generales","España","Esp.","","","Ágora Integral/Canarias Ahora","https://www.eldiario.es/canariasahora/politica/espana-vaciada-entra-fuerza-congreso-extrema-derecha-gana-votos_1_8569563.html","1500","1–5 Dec 2021",2021-12-05,"62.5",1,"PSOE","PSOE +1",25.5,24.5,16.9,11.8,3.2,3.7,4.4,2.1,1.6,1.2,1,0.4,0.5,NA,0.3,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"33","Generales","Murcia, Región de","Mur.","","","Ágora Integral","https://www.eldiario.es/canariasahora/politica/espana-vaciada-entra-fuerza-congreso-extrema-derecha-gana-votos_1_8569563.html","500","1–5 Dec 2021",2021-12-05,"68.3",7.7,"PP","PP +7.7",22.1,29.8,21.5,13,4.7,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"34","Municipales","Gijón","Ast.","Asturias","Gijón","ElectoPanel/Electomanía","https://migijon.com/la-izquierda-perderia-gijon-segun-una-encuesta/","","5 Dec 2021",2021-12-05,"",8.9,"PSOE","PSOE +8.9",28.5,14.2,14,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"35","Generales","España","Esp.","","","IMOP/El Confidencial","https://www.elconfidencial.com/espana/observatorio-electoral/2021-12-09/encuestas-vox-disparado-64escanos-estancamiento-pp-psoe_3337445/","1316","22 Nov–3 Dec 2021",2021-12-03,"",0.1,"PP","PP +0.1",25.7,25.8,18.2,11.6,2.3,2.9,2.7,2.1,1.7,1.2,1.1,0.4,1.1,0.4,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"36","Autonómicas","País Vasco","Eus.","","","Ikerfel/GPS","https://www.euskadi.eus/contenidos/documentacion/21sv75aurreikuspena/es_def/adjuntos/21sv75_aurreikuspenak.pdf","3333","29 Nov–3 Dec 2021",2021-12-03,"55.5",12.1,"PNV","PNV +12.1",NA,6.8,2.2,NA,NA,NA,NA,NA,39.6,27.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14,6.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"37","Generales","España","Esp.","","","Sigma Dos/El Mundo","https://www.elmundo.es/espana/encuestas/2021/12/05/61acf54921efa0c9488b4585.html","1633","30 Nov–1 Dec 2021",2021-12-01,"",2.2,"PP","PP +2.2",26.4,28.6,15,10.1,3.5,3,3.5,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"38","Autonómicas","Asturias, Principado de","Ast.","","","ElectoPanel/Electomanía","https://electomania.es/astup30n21/","1093","15 Oct–29 Nov 2021",2021-11-29,"",20.8,"PSOE","PSOE +20.8",41.4,20.6,11.1,NA,2.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,8.4,NA,NA,NA,6.4,6.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"39","Generales","España","Esp.","","","ElectoPanel/Electomanía","https://electomania.es/ep28n21/","","19–26 Nov 2021",2021-11-26,"",0.3,"PP","PP +0.3",25.9,26.2,17.9,10.9,3.2,3.4,2.8,2.4,1.5,1.2,0.9,0.5,0.8,0.4,0.2,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"40","Autonómicas","Canarias","I.Can.","","","Hamalgama Métrica/UNED","https://unedgrancanaria.es/docs/SBC/SBC02/informe-grafico-SbC2-dic2021.pdf","3170","1–26 Nov 2021",2021-11-26,"",16.2,"PSOE","PSOE +16.2",34.5,17.8,5.4,6.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,18.3,9.7,0.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"41","Municipales","Toledo","Clm.","Toledo","Toledo","SW Demoscopia/La Tribuna","https://www.latribunadetoledo.es/noticia/ZE7E51181-040D-543D-9190EB7267507BF8/Tolon-encara-el-ano-preelectoral-consolidando-su-mayoria","420","23–25 Nov 2021",2021-11-25,"62.2",11.2,"PSOE","PSOE +11.2",44.4,33.2,8,7.6,5.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"42","Generales","España","Esp.","","","SW Demoscopia/Publicaciones Sur","https://andaluciainformacion.es/andalucia/1011707/pp-y-vox-no-suman-lo-suficiente-para-desalojar-a-pedro-sanchez-de-la-moncloa/","610","23–24 Nov 2021",2021-11-24,"",2.9,"PSOE","PSOE +2.9",25.9,23,18.8,12.7,3,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"43","Forales","Gipuzkoa","Eus.","Gipuzkoa","","Gizaker/Gipuzkoa Deputation","https://www.gipuzkoa.eus/es/-/gipuzkoarrek-6-13ko-notarekin-baloratzen-dute-lurraldeko-zaintza-sistema","1200","19–24 Nov 2021",2021-11-24,"63.9",2.4,"PNV","PNV +2.4",NA,4.8,1,NA,NA,NA,NA,NA,36.9,34.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15.2,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"44","Generales","España","Esp.","","","KeyData/Público","https://www.publico.es/politica/batalla-casado-ayuso-vuelve-frenar-derecha-yolanda-diaz-abre-paso-encuestas.html/","","22 Nov 2021",2021-11-22,"65.9",1.7,"PP","PP +1.7",25.6,27.3,16.4,11.1,2.8,3.6,3.1,2.1,1.5,1.1,0.9,0.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"45","Generales","España","Esp.","","","Sigma Dos/Antena 3","https://www.antena3.com/noticias/espana/ganaria-elecciones-130-escanos-alcanzaria-mayoria-absoluta-vox-segun-ultima-encuesta-sigma-2_20211122619b4a075db1d60001039044.html","","22 Nov 2021",2021-11-22,"",3.5,"PP","PP +3.5",25.8,29.3,15.2,11,3.4,3,2.9,2,1.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"46","Generales","España","Esp.","","","DYM/Henneo","https://www.20minutos.es/noticia/4903798/0/la-crisis-del-pp-le-quita-cuatro-puntos-de-su-ventaja-sobre-el-psoe/","1021","17–21 Nov 2021",2021-11-21,"",0.3,"PP","PP +0.3",25.5,25.8,18.3,12.2,4.7,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
