"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora/Medio","Fuente","Muestra","Trabajo Campo","Ultimo dia","Particip","Lead","Ganador","Ventaja","ACP","Adelante","Adelante Andalucía","Adelante Andalucía (2018)","Adelante Andalucía (2021)","AIKE","Andaluces Levantaos","ASG","Avante","AxSí","BA","BNG","Caballas","CC–NCa","CCa","CH","CHA","CL","Clotilde Cuéllar","CM","Compromís","CpM","Cs","CUP","CY!","DO","E-2000","EC","ECP","EH Bildu","El Pi","Elkarrekin Podemos","ERC","ERC–Sobiranistes","esperta","EUPV","EV","FAC","FeC","Galicia en Común","Ganar Alcorcón","GBai","GBC","GeC","GJ","GT","GxF","I–E (n)","IGE","IU","IU–Madrid","IU–MeP","IU–V–RM","IU/IX","IUC","IUCyL","IULV","IUMA","Junts","JxCat","L","Marea Atlántica","Marea Galeguista","Más Madrid","Más Madrid–Leganemos","Más País","MCC","MDyC","Més","Més Compromís","MM–Alcorcón","MM–Fuenlabrada","MMAlcobendas","MMArganda","MMCCG","MMGM","MMP","MOVER Parla","MxMe","NA+","NCa","PACMA","PAR","PDeCAT","PIVG","PNV","Podem–EUPV","Podemos","Podemos–IU","Podemos–IU–Equo","PP","PP+Cs","PR+","PRC","PSC","PSdeG–PSOE","PSE–EE (PSOE)","PSIB–PSOE","PSN–PSOE","PSOE","PSOE–A","PSPV","PTSV","PVI","PxE","Somos Alcalá","Somos Región","SomosOviedo","SR100","TE","ULEG","Unidas Podemos","Unides Podem–EUIB","Unides Podem–EUPV","UP","UPL","UPporA","UPxA","UxA","Vox","XAV","ZD","ZGZ"
"11","Generales","España","Esp.",NA,NA,"40 dB/Prisa","https://elpais.com/espana/2022-03-07/vox-es-el-unico-partido-que-crece-y-pisa-los-talones-al-pp.html","2000","22-28 Feb",2022-02-28,"",5,"PSOE","PSOE +5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.7,NA,NA,NA,NA,NA,NA,NA,NA,26.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.7,NA,NA,NA,NA,NA,NA,NA,19.2,NA,NA,NA
"12","Autonómicas","Cantabria","Can.",NA,NA,"ElectoPanel/Electomanía","https://electomania.es/epcant28f22/","-","15 Jan-27 Feb 2022",2022-02-27,"",2.3,"PRC","PRC +2.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.6,NA,NA,29.9,NA,NA,NA,NA,NA,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.1,NA,NA,NA,NA,NA,NA,NA,10.3,NA,NA,NA
"13","Generales","España","Esp.",NA,NA,"Ágora Integral/Canarias Ahora","https://www.eldiario.es/canariasahora/politica/vox-alcanza-partido-popular_1_8784990.html","1000","23-25 Feb",2022-02-25,"62.5",7.3,"PSOE","PSOE +7.3",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,3.6,1,NA,NA,NA,NA,NA,1.2,NA,NA,NA,3.5,NA,NA,0.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,20.6,NA,NA,0.3,NA,NA,NA,NA,NA,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.9,NA,NA,NA,NA,NA,NA,NA,20.5,NA,NA,NA
"14","Generales","España","Esp.",NA,NA,"Data10/OKDiario","https://okdiario.com/espana/cambio-casado-feijoo-anula-sorpasso-vox-devuelve-pp-primacia-derecha-8640616","1000","24-25 Feb",2022-02-25,"",3.8,"PSOE","PSOE +3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,3.2,0.9,NA,NA,NA,NA,NA,1.1,NA,NA,NA,3.2,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,21.9,NA,NA,0.2,NA,NA,NA,NA,NA,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,21.8,NA,NA,NA
"15","Generales","España","Esp.",NA,NA,"ElectoPanel/Electomanía","https://electomania.es/ep26f22","2144","20-25 Feb",2022-02-25,"",3.4,"PSOE","PSOE +3.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,3.1,1,NA,NA,NA,NA,NA,1.5,NA,NA,NA,3.5,NA,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,16.8,NA,NA,0.2,NA,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA,NA,NA,NA,NA,23.9,NA,NA,NA
"16","Generales","España","Esp.",NA,NA,"IMOP/El Confidencial","https://www.elconfidencial.com/espana/observatorio-electoral/2022-03-02/enfrentamiento-casado-ayuso-hunde-pp-vox-crece_3383995/","1307","14-25 Feb",2022-02-25,"",4.9,"PSOE","PSOE +4.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.8,1.1,NA,NA,NA,NA,NA,1.2,NA,NA,NA,3.2,NA,NA,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,22.4,NA,NA,0.2,NA,NA,NA,NA,NA,27.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.1,NA,NA,NA,NA,NA,NA,NA,19.5,NA,NA,NA
"17","Generales","España","Esp.",NA,NA,"InvyMark/laSexta","https://www.lasexta.com/noticias/nacional/barometro-lasexta-baja-4-puntos-crisis-vox-recorta-distancias_20220227621b7e9bf5e39e0001e563d6.html","-","21-25 Feb",2022-02-25,"",3.1,"PSOE","PSOE +3.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,24.8,NA,NA,NA,NA,NA,NA,NA,NA,27.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.4,NA,NA,NA,NA,NA,NA,NA,19.3,NA,NA,NA
"18","Generales","España","Esp.",NA,NA,"Target Point/El Debate","https://www.eldebate.com/espana/20220228/pp-paga-crisis-vox-le-da-sorpaso-votos-todavia-escanos.html","1005","23-25 Feb",2022-02-25,"",5.7,"PSOE","PSOE +5.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20.3,NA,NA,NA,NA,NA,NA,NA,NA,26.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,20.8,NA,NA,NA
"19","Autonómicas","País Vasco","Eus.",NA,NA,"Ikerfel/GPS","https://www.euskadi.eus/contenidos/documentacion/22sv76aurreikuspena/es_def/adjuntos/22sv76_aurreikuspenak.pdf","3333","21-25 Feb 2022",2022-02-25,"55.2",12,"PNV","PNV +12",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.3,NA,7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.3,NA,NA,NA,NA,NA,6.2,NA,NA,NA,NA,14.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.7,NA,NA,NA
"20","Municipales","València","Val.","Valencia","Valencia","SyM Consulting/EPDA","https://www.elperiodicodeaqui.com/epda-noticias/vox-se-dispara-en-valencia-por-la-crisis-del-pp-pero-seguiran-gobernando-compromis-y-los-socialistas-en-el-ayuntamiento/279269","968","22-25 Feb 2022",2022-02-25,"64.0",5.1,"Compromís","Compromís +5.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27.7,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,22.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,21.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,18.9,NA,NA,NA
