"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora/Medio","Fuente","Muestra","Trabajo Campo","Ultimo dia","Particip","Lead","Ganador","Ventaja","ACP","Adelante","Adelante Andalucía","Adelante Andalucía (2018)","Adelante Andalucía (2021)","AIKE","Andaluces Levantaos","ASG","Avante","AxSí","BA","BNG","Caballas","CC–NCa","CCa","CH","CHA","CL","Clotilde Cuéllar","CM","Compromís","CpM","Cs","CUP","CY!","DO","E-2000","EC","ECP","EH Bildu","El Pi","Elkarrekin Podemos","ERC","ERC–Sobiranistes","esperta","EUPV","EV","FAC","FeC","Galicia en Común","Ganar Alcorcón","GBai","GBC","GeC","GJ","GT","GxF","I–E (n)","IGE","IU","IU–Madrid","IU–MeP","IU–V–RM","IU/IX","IUC","IUCyL","IULV","IUMA","Junts","JxCat","L","Marea Atlántica","Marea Galeguista","Más Madrid","Más Madrid–Leganemos","Más País","MCC","MDyC","Més","Més Compromís","MM–Alcorcón","MM–Fuenlabrada","MMAlcobendas","MMArganda","MMCCG","MMGM","MMP","MOVER Parla","MxMe","NA+","NCa","PACMA","PAR","PDeCAT","PIVG","PNV","Podem–EUPV","Podemos","Podemos–IU","Podemos–IU–Equo","PP","PP+Cs","PR+","PRC","PSC","PSdeG–PSOE","PSE–EE (PSOE)","PSIB–PSOE","PSN–PSOE","PSOE","PSOE–A","PSPV","PTSV","PVI","PxE","Somos Alcalá","Somos Región","SomosOviedo","SR100","TE","ULEG","Unidas Podemos","Unides Podem–EUIB","Unides Podem–EUPV","UP","UPL","UPporA","UPxA","UxA","Vox","XAV","ZD","ZGZ"
"130","Generales","León","Cyl.","León",NA,"SyM Consulting","https://twitter.com/Barometrocm/status/1475397884593983493","740","16-19 Dec 2021",2021-12-19,"55.3",12.5,"Vox","Vox +12.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.3,NA,NA,NA,NA,NA,NA,NA,NA,25.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.8,NA,NA,NA
"131","Autonómicas","Ceuta","Ceu.",NA,NA,"SyM Consulting","https://twitter.com/Barometrocm/status/1475397688770367489","740","16-19 Dec 2021",2021-12-19,"56.0",9.1,"Vox","Vox +9.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.8,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.9,NA,NA,NA
"132","Generales","Palencia","Cyl.","Palencia",NA,"SyM Consulting","https://twitter.com/Barometrocm/status/1476458029750968320","828","16-18 Dec 2021",2021-12-18,"58.1",0.8,"CpM","CpM +0.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31.1,0.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.3,NA,NA,NA,NA,NA,NA,NA,NA,16.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,NA,NA,NA,NA,NA,NA,NA,18.6,NA,NA,NA
"133","Autonómicas","Melilla","Mel.",NA,NA,"SyM Consulting","https://twitter.com/Barometrocm/status/1476455513944563713","828","16-18 Dec 2021",2021-12-18,"56.8",3.8,"CpM","CpM +3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.1,0.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34.3,NA,NA,NA,NA,NA,NA,NA,NA,9.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.6,NA,NA,NA
"134","Generales","España","Esp.",NA,NA,"Celeste-Tel/Onda Cero","https://www.ondacero.es/noticias/espana/bloque-centroderecha-escano-mayoria-absoluta_2021122161c23080192fe40001d27024.html","1100","13-17 Dec",2021-12-17,"",1.9,"PP","PP +1.9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,3.4,0.9,NA,NA,NA,NA,NA,1.2,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,3.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,27.9,NA,NA,0.2,NA,NA,NA,NA,NA,26,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,10.2,NA,NA,NA,NA,NA,NA,NA,16.1,NA,NA,NA
"135","Generales","España","Esp.",NA,NA,"IMOP/El Confidencial","https://www.elconfidencial.com/espana/observatorio-electoral/2021-12-23/terremoto-derecha-vox-escalada-pp-caida-libre_3347974/","1297","6-17 Dec",2021-12-17,"",1,"PSOE","PSOE +1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.4,1.2,NA,NA,NA,NA,NA,1.2,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,24.7,NA,NA,0.2,NA,NA,NA,NA,NA,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,11.8,NA,NA,NA,NA,NA,NA,NA,19.1,NA,NA,NA
"136","Autonómicas","Castilla - La Mancha","Clm.",NA,NA,"Idus3/PSOE","https://www.elespanol.com/eldigitalcastillalamancha/region/20220116/garcia-page-volveria-gobernar-castilla-la-mancha-absoluta-vox/642435832_0.html","4723","3-17 Dec 2021",2021-12-17,"",14.6,"PSOE","PSOE +14.6",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,30.9,NA,NA,NA,NA,NA,NA,NA,NA,45.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,12.5,NA,NA,NA
"137","Municipales","Sevilla","And.","Sevilla","Sevilla","SW Demoscopia","http://swdemoscopia.com/2021/12/28/sondeo-sevilla-ciudad-2/","1007","9-17 Dec 2021",2021-12-17,"",5.4,"PSOE–A","PSOE–A +5.4",NA,NA,11.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,38.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.2,NA,NA,NA
"138","Generales","España","Esp.",NA,NA,"ElectoPanel/Electomanía","https://electomania.es/ep19d21/","1305","10-16 Dec",2021-12-16,"",0,"PP","PP +0",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,3.2,1,NA,NA,NA,NA,NA,1.3,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,25.3,NA,NA,0.2,NA,NA,NA,NA,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,11.1,NA,NA,NA,NA,NA,NA,NA,18.7,NA,NA,NA
"139","Generales","España","Esp.",NA,NA,"GAD3/ABC","https://www.abc.es/espana/abci-centro-derecha-gana-terreno-y-suma-mayoria-holgada-202112192235_noticia.html","1003","13-16 Dec",2021-12-16,"68",3.4,"PP","PP +3.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0.8,NA,NA,NA,NA,NA,1.3,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,28.5,NA,NA,0.2,NA,NA,NA,NA,NA,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,9.8,NA,NA,NA,NA,NA,NA,NA,17.1,NA,NA,NA
"140","Autonómicas","Castilla y León","Cyl.",NA,NA,"ElectoPanel/Electomanía","https://electomania.es/epcyl15d21/","-","15 Dec 2021",2021-12-15,"",10.1,"PP","PP +10.1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,40.1,NA,NA,NA,NA,NA,NA,NA,NA,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.3,NA,NA,NA,2.8,NA,NA,NA,13.6,0.6,NA,NA
"141","Autonómicas","Comunitat Valenciana","Val.",NA,NA,"ElectoPanel/Electomanía","https://www.esdiario.com/valencia/275749825/ppcv-toca-las-puertas-palau-generalitat.html","-","15 Dec 2021",2021-12-15,"",3.5,"PP","PP +3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,16,NA,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,25,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.5,NA,NA,NA,NA,NA,NA,NA,16.3,NA,NA,NA
"142","Generales","España","Esp.",NA,NA,"CIS","http://datos.cis.es/pdf/Es3344marMT_A.pdf","3733","1-13 Dec",2021-12-13,"",7.2,"PSOE","PSOE +7.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,NA,0.3,NA,NA,NA,NA,NA,NA,NA,NA,5.9,0.8,NA,NA,NA,NA,NA,0.8,NA,NA,NA,2.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.2,NA,NA,NA,NA,20.8,NA,NA,0.2,NA,NA,NA,NA,NA,28,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,13.7,NA,NA,NA,NA,NA,NA,NA,14.6,NA,NA,NA
"143","Generales","España","Esp.",NA,NA,"Simple Lógica","https://www.simplelogica.com/es/intencion-de-voto-y-valoracion-de-lideres-politicos-diciembre-2021/","1041","1-13 Dec",2021-12-13,"65.3",2.4,"PSOE","PSOE +2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,23.1,NA,NA,NA,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.6,NA,NA,NA,NA,NA,NA,NA,19.4,NA,NA,NA
"144","Autonómicas","Melilla","Mel.",NA,NA,"NC Report/El Faro de Melilla","https://elfarodemelilla.es/sorpasso-de-cpm-a-pp-en-melilla/","700","3-13 Dec 2021",2021-12-13,"54.5",3.8,"CpM","CpM +3.8",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,32.5,NA,NA,NA,NA,NA,NA,NA,NA,11.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14.8,NA,NA,NA
"145","Autonómicas","Andalucía","And.",NA,NA,"CENTRA/CEA","https://www.centrodeestudiosandaluces.es/barometro/barometro-andaluz-8","3600","24 Nov-13 Dec 2021",2021-12-13,"60.9",10,"PP","PP +10",NA,NA,NA,NA,4.4,NA,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,25.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.7,NA,NA,10.9,NA,NA,NA
"146","Autonómicas","Rioja, La","Rio.",NA,NA,"NueveCuatroUno","https://nuevecuatrouno.com/2021/12/12/el-refractometro-pp-y-vox-sumarian-una-ajustada-mayoria-en-la-rioja/","-","12 Dec 2021",2021-12-12,"",0.5,"PSOE","PSOE +0.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,35.3,NA,5.1,NA,NA,NA,NA,NA,NA,35.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.6,NA,NA,NA,NA,NA,NA,NA,11.6,NA,NA,NA
"147","Generales","España","Esp.",NA,NA,"NC Report/La Razón","https://www.larazon.es/espana/20211213/na5jrm2v3fczfjux5oaugcxz2u.html","1000","8-11 Dec",2021-12-11,"62.2",3.5,"PP","PP +3.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,NA,NA,NA,NA,NA,NA,1,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,NA,NA,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.7,NA,NA,NA,NA,28.8,NA,NA,NA,NA,NA,NA,NA,NA,25.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,9.9,NA,NA,NA,NA,NA,NA,NA,15.5,NA,NA,NA
"148","Generales","España","Esp.",NA,NA,"ElectoPanel/Electomanía","https://electomania.es/ep12d21/","2177","3-10 Dec",2021-12-10,"",0.2,"PP","PP +0.2",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,0.6,NA,NA,NA,NA,NA,NA,NA,NA,3.3,1,NA,NA,NA,NA,NA,1.3,NA,NA,NA,3.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.4,NA,NA,NA,NA,NA,2.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,25.7,NA,NA,0.2,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,10.8,NA,NA,NA,NA,NA,NA,NA,18.5,NA,NA,NA
"149","Municipales","Cádiz","And.","Cádiz","Cádiz","GAD3/La Voz de Cádiz","https://www.lavozdigital.es/cadiz/lvdi-respaldo-gaditanos-gestion-kichi-empieza-sintomas-debilidad-202201140813_noticia.html","602","3-10 Dec 2021",2021-12-10,"",6.2,"PP","PP +6.2",NA,27.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,33.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,19.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.8,NA,NA,7.7,NA,NA,NA
"150","Generales","España","Esp.",NA,NA,"Data10/OKDiario","https://okdiario.com/espana/casado-pierde-7-escanos-pelea-ayuso-pp-gobernaria-apoyo-vox-pero-pelos-8248532","1000","7-9 Dec",2021-12-09,"",2.5,"PP","PP +2.5",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,2.8,0.9,NA,NA,NA,NA,NA,1.1,NA,NA,NA,3.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,3.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,28.1,NA,NA,0.2,NA,NA,NA,NA,NA,25.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,10.6,NA,NA,NA,NA,NA,NA,NA,16.5,NA,NA,NA
"151","Generales","España","Esp.",NA,NA,"Hamalgama Métrica/VozPópuli","https://www.vozpopuli.com/espana/vox-abascal-casado.html","1000","2-9 Dec",2021-12-09,"",2.4,"PP","PP +2.4",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,NA,0.5,NA,NA,NA,NA,NA,NA,NA,NA,2.9,0.9,NA,NA,NA,NA,NA,1.1,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,NA,NA,NA,NA,NA,3.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,NA,NA,NA,NA,NA,1.5,NA,NA,NA,NA,28.1,NA,NA,0.2,NA,NA,NA,NA,NA,25.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.1,NA,10.2,NA,NA,NA,NA,NA,NA,NA,16.3,NA,NA,NA
"152","Autonómicas","Andalucía","And.",NA,NA,"SocioMétrica/El Español","https://www.elespanol.com/espana/politica/20211208/pp-cs-acercan-absoluta-andalucia-publicara-espanol/633186899_0.html","1200","3-6 Dec 2021",2021-12-06,"",12.7,"PP+Cs","PP+Cs +12.7",NA,NA,NA,NA,6.2,NA,1.3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,39.6,NA,NA,NA,NA,NA,NA,NA,NA,26.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.9,NA,NA,16,NA,NA,NA
"153","Autonómicas","Andalucía","And.",NA,NA,"SocioMétrica/El Español","https://www.elespanol.com/espana/politica/20211208/pp-cs-acercan-absoluta-andalucia-publicara-espanol/633186899_0.html","1200","3-6 Dec 2021",2021-12-06,"",10.2,"PP","PP +10.2",NA,NA,NA,NA,6,NA,1.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,36.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,26.2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6.8,NA,NA,15,NA,NA,NA
"154","Generales","España","Esp.",NA,NA,"Ágora Integral/Canarias Ahora","https://www.eldiario.es/canariasahora/politica/espana-vaciada-entra-fuerza-congreso-extrema-derecha-gana-votos_1_8569563.html","1500","1-5 Dec",2021-12-05,"62.5",1,"PSOE","PSOE +1",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,0.4,NA,NA,NA,NA,NA,NA,NA,NA,3.2,1,NA,NA,NA,NA,NA,1.2,NA,NA,NA,3.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.1,NA,NA,NA,NA,NA,4.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,NA,NA,NA,NA,24.5,NA,NA,0.3,NA,NA,NA,NA,NA,25.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,NA,11.8,NA,NA,NA,NA,NA,NA,NA,16.9,NA,NA,NA
"155","Generales","Madrid, Comunidad de","Mad.",NA,NA,"Ágora Integral","https://www.eldiario.es/canariasahora/politica/espana-vaciada-entra-fuerza-congreso-extrema-derecha-gana-votos_1_8569563.html","500","1-5 Dec 2021",2021-12-05,"68.3",7.7,"PP","PP +7.7",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.7,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,7.4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,29.8,NA,NA,NA,NA,NA,NA,NA,NA,22.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,13,NA,NA,NA,NA,NA,NA,NA,21.5,NA,NA,NA
