"","Tipo","Literal","CCAA","Provincia","Municipio","Encuestadora/Medio","Fuente","Muestra","Trabajo Campo","Ultimo dia","Particip","Lead","Ganador","Ventaja"
"1","Municipales","Madrid","Mad.","Madrid","Madrid","Data10/OKDiario","https://okdiario.com/espana/almeida-sera-mas-votado-pero-seguira-alcalde-vox-cs-solo-concejal-ventaja-8947386","1000","19-20 Apr 2022",2022-04-20,"",1.4,"PP","PP +1.4"
"2","Municipales","Huesca","Ara.","Huesca","Huesca","A+M/Heraldo de Aragón","https://www.electograph.com/2022/04/zaragoza-huesca-teruel-encuesta-am-220423.html","600","4-18 Apr 2022",2022-04-18,"68.3",0.8,"PSOE","PSOE +0.8"
"3","Municipales","Teruel","Ara.","Teruel","Teruel","A+M/Heraldo de Aragón","https://www.electograph.com/2022/04/zaragoza-huesca-teruel-encuesta-am-220423.html","600","4-18 Apr 2022",2022-04-18,"67.6",12.5,"PP","PP +12.5"
"4","Municipales","Zaragoza","Ara.","Zaragoza","Zaragoza","A+M/Heraldo de Aragón","https://www.electograph.com/2022/04/zaragoza-huesca-teruel-encuesta-am-220423.html","800","4-18 Apr 2022",2022-04-18,"68.6",21.2,"PP","PP +21.2"
"5","Municipales","Madrid","Mad.","Madrid","Madrid","ElectoPanel/Electomanía","https://electomania.es/madpanel13a22/","845","1 Mar-13 Apr 2022",2022-04-13,"",6.6,"Más Madrid","Más Madrid +6.6"
